,Product_names,Prices,Rating
26,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
27,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
28,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
29,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
30,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
31,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
32,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹25,999",4.5
33,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹25,999",4.5
34,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹24,999",4.5
35,"realme 10 Pro+ 5G (Hyperspace, 128 GB)","₹25,999",4.5
36,"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹24,999",4.3
37,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹21,965",4.3
38,"vivo V27 5G (Magic Blue, 128 GB)","₹32,999",4.4
39,"APPLE iPhone 14 (Midnight, 128 GB)","₹71,999",4.6
40,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹21,999",4.3
41,"vivo V27 5G (Noble Black, 128 GB)","₹32,999",4.4
42,"POCO X5 Pro 5G (Yellow, 256 GB)","₹24,999",4.3
43,"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹21,499",4.1
44,"REDMI Note 12 Pro 5G (Glacier Blue, 128 GB)","₹24,999",4.3
45,"POCO X5 Pro 5G (Astral Black, 128 GB)","₹22,999",4.4
46,"REDMI Note 12 Pro 5G (Glacier Blue, 256 GB)","₹27,999",4.3
47,"MOTOROLA edge 30 (Meteor Grey, 128 GB)","₹23,199",4.1
48,"APPLE iPhone 14 (Purple, 128 GB)","₹71,999",4.6
49,"POCO X5 Pro 5G (Horizon Blue, 128 GB)","₹22,999",4.4
50,"APPLE iPhone 14 (Starlight, 128 GB)","₹71,999",4.6
51,"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999",4.5
52,"Google Pixel 6a (Charcoal, 128 GB)","₹29,999",4.3
53,"Google Pixel 6a (Chalk, 128 GB)","₹29,999",4.3
54,"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹24,999",4.5
55,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)","₹24,999",4.5
